(0x0008,0x0001); UL; Length to End; LengthToEnd; 1; RET
(0x0008,0x2124); IS; Number of Stages; NumberOfStages; 1; 
(0x0008,0x2127); SH; View Name; ViewName; 1; 
(0x0008,0x2128); IS; View Number; ViewNumber; 1; 
(0x0008,0x2129); IS; Number of Event; NumberOfEventTimers; 1; 
(0x0008,0x212A); IS; Number of Views in; NumberOfViewsInStage; 1; 
(0x0008,0x2130); DS; Event Elapsed Time; EventElapsedTimes; 1-; 
(0x0008,0x2132); LO; Event Timer Name(s); EventTimerNames; 1-; 
(0x0008,0x2133); SQ; Event Timer; EventTimerSequence; 1; 
(0x0008,0x2134); FD; Event Time Offset; EventTimeOffset; 1; 
(0x0008,0x2135); SQ; Event Code Sequence; EventCodeSequence; 1; 
(0x0008,0x2142); IS; Start Trim; StartTrim; 1; 
(0x0008,0x2143); IS; Stop Trim; StopTrim; 1; 
(0x0008,0x2144); IS; Recommended Display; RecommendedDisplayFrameRate; 1; 
(0x0008,0x2200); CS; Transducer Position; TransducerPosition; 1; RET
(0x0008,0x2204); CS; Transducer; TransducerOrientation; 1; RET
(0x0008,0x2208); CS; Anatomic Structure; AnatomicStructure; 1; RET
(0x0008,0x2218); SQ; Anatomic Region; AnatomicRegionSequence; 1; 
(0x0008,0x2220); SQ; Anatomic Region; AnatomicRegionModifierSequence; 1; 
(0x0008,0x2228); SQ; Primary Anatomic; PrimaryAnatomicStructureSequence; 1; 
(0x0008,0x2229); SQ; Space or Region; AnatomicStructureSpaceOrRegionSequence; 1; 
(0x0008,0x2230); SQ; Structure Modifier; PrimaryAnatomicStructureModifierSequence; 1; 
(0x0008,0x2240); SQ; Transducer Position; TransducerPositionSequence; 1; RET
(0x0008,0x2242); SQ; Transducer Position; TransducerPositionModifierSequence; 1; RET
(0x0008,0x2244); SQ; Orientation; TransducerOrientationSequence; 1; RET
(0x0008,0x2246); SQ; Orientation; TransducerOrientationModifierSequence; 1; RET
(0x0008,0x2251); SQ; Space Or Region; AnatomicStructureSpaceOrRegionCodeSequenceTrial; 1; RET
(0x0008,0x2253); SQ; Entrance Code; AnatomicPortalOfEntranceCodeSequenceTrial; 1; RET
(0x0008,0x2255); SQ; Direction Code; AnatomicApproachDirectionCodeSequenceTrial; 1; RET
(0x0008,0x2256); ST; Perspective; AnatomicPerspectiveDescriptionTrial; 1; RET
(0x0008,0x2257); SQ; Perspective Code; AnatomicPerspectiveCodeSequenceTrial; 1; RET
(0x0008,0x2258); ST; Of Examining; AnatomicLocationOfExaminingInstrumentDescriptionTrial; 1; RET
(0x0008,0x2259); SQ; Of Examining; AnatomicLocationOfExaminingInstrumentCodeSequenceTrial; 1; RET
(0x0008,0x225A); SQ; Space Or Region; AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial; 1; RET
(0x0008,0x225C); SQ; Anatomic Structure; OnAxisBackgroundAnatomicStructureCodeSequenceTrial; 1; RET
(0x0008,0x3001); SQ; Representation; AlternateRepresentationSequence; 1; 
(0x0008,0x3010); UI; Irradiation Event; IrradiationEventUID; 1; 
(0x0008,0x4000); LT; Identifying; IdentifyingComments; 1; RET
(0x0008,0x9007); CS; Frame Type; FrameType; 4; 
(0x0008,0x9092); SQ; Referenced Image; ReferencedImageEvidenceSequence; 1; 
(0x0008,0x9121); SQ; Referenced Raw Data; ReferencedRawDataSequence; 1; 
(0x0008,0x9123); UI; Creator-Version UID; CreatorVersionUID; 1; 
(0x0008,0x9124); SQ; Derivation Image; DerivationImageSequence; 1; 
(0x0008,0x9154); SQ; Source Image; SourceImageEvidenceSequence; 1; 
(0x0008,0x9205); CS; Pixel Presentation; PixelPresentation; 1; 
(0x0008,0x9206); CS; Volumetric; VolumetricProperties; 1; 
(0x0008,0x9207); CS; Calculation; VolumeBasedCalculationTechnique; 1; 
(0x0008,0x9208); CS; Complex Image; ComplexImageComponent; 1; 
(0x0008,0x9209); CS; Acquisition; AcquisitionContrast; 1; 
(0x0008,0x9215); SQ; Derivation Code; DerivationCodeSequence; 1; 
(0x0008,0x9237); SQ; Presentation State; ReferencedPresentationStateSequence; 1; 
(0x0008,0x9410); SQ; Referenced Other; ReferencedOtherPlaneSequence; 1; 
(0x0008,0x9458); SQ; Frame Display; FrameDisplaySequence; 1; 
(0x0008,0x9459); FL; Recommended Display; RecommendedDisplayFrameRateInFloat; 1; 
(0x0008,0x9460); CS; Skip Frame Range; SkipFrameRangeFlag; 1; 
(0x0010,0x0010); PN; Patients Name; PatientName; 1; 
(0x0010,0x0020); LO; Patient ID; PatientID; 1; 
(0x0010,0x0021); LO; Issuer of Patient; IssuerOfPatientID; 1; 
(0x0010,0x0022); CS; Type of Patient ID; TypeOfPatientID; 1; 
(0x0010,0x0024); SQ; ID Qualifiers; IssuerOfPatientIDQualifiersSequence; 1; 
(0x0010,0x0030); DA; Patients Birth; PatientBirthDate; 1; 
(0x0010,0x0032); TM; Patients Birth; PatientBirthTime; 1; 
(0x0010,0x0040); CS; Patients Sex; PatientSex; 1; 
(0x0010,0x0050); SQ; Insurance Plan Code; PatientInsurancePlanCodeSequence; 1; 
(0x0010,0x0101); SQ; Language Code; PatientPrimaryLanguageCodeSequence; 1; 
(0x0010,0x0102); SQ; Language Modifier; PatientPrimaryLanguageModifierCodeSequence; 1; 
(0x0010,0x1000); LO; Other Patient IDs; OtherPatientIDs; 1-; 
(0x0010,0x1001); PN; Other Patient Names; OtherPatientNames; 1-; 
(0x0010,0x1002); SQ; Other Patient IDs; OtherPatientIDsSequence; 1; 
(0x0010,0x1005); PN; Patients Birth; PatientBirthName; 1; 
(0x0010,0x1010); AS; Patients Age; PatientAge; 1; 
(0x0010,0x1020); DS; Patients Size; PatientSize; 1; 
(0x0010,0x1021); SQ; Patients Size; PatientSizeCodeSequence; 1; 
(0x0010,0x1030); DS; Patients Weight; PatientWeight; 1; 
(0x0010,0x1040); LO; Patients Address; PatientAddress; 1; 
(0x0010,0x1050); LO; Insurance Plan; InsurancePlanIdentification; 1-; RET
(0x0010,0x1060); PN; Mothers Birth; PatientMotherBirthName; 1; 
(0x0010,0x1080); LO; Military Rank; MilitaryRank; 1; 
(0x0010,0x1081); LO; Branch of Service; BranchOfService; 1; 
(0x0010,0x1090); LO; Medical Record; MedicalRecordLocator; 1; 
(0x0010,0x2000); LO; Medical Alerts; MedicalAlerts; 1-; 
(0x0010,0x2110); LO; Allergies; Allergies; 1-; 
(0x0010,0x2150); LO; Country of; CountryOfResidence; 1; 
(0x0010,0x2152); LO; Region of Residence; RegionOfResidence; 1; 
(0x0010,0x2154); SH; Patients; PatientTelephoneNumbers; 1-; 
(0x0010,0x2160); SH; Ethnic Group; EthnicGroup; 1; 
(0x0010,0x2180); SH; Occupation; Occupation; 1; 
(0x0010,0x21A0); CS; Smoking Status; SmokingStatus; 1; 
(0x0010,0x21B0); LT; Additional Patient; AdditionalPatientHistory; 1; 
(0x0010,0x21C0); US; Pregnancy Status; PregnancyStatus; 1; 
(0x0010,0x21D0); DA; Last Menstrual Date; LastMenstrualDate; 1; 
(0x0010,0x21F0); LO; Religious; PatientReligiousPreference; 1; 
(0x0010,0x2201); LO; Patient Species; PatientSpeciesDescription; 1; 
(0x0010,0x2202); SQ; Patient Species; PatientSpeciesCodeSequence; 1; 
(0x0010,0x2203); CS; Patients Sex; PatientSexNeutered; 1; 
(0x0010,0x2210); CS; Anatomical; AnatomicalOrientationType; 1; 
(0x0010,0x2292); LO; Patient Breed; PatientBreedDescription; 1; 
(0x0010,0x2293); SQ; Patient Breed Code; PatientBreedCodeSequence; 1; 
(0x0010,0x2294); SQ; Breed Registration; BreedRegistrationSequence; 1; 
(0x0010,0x2295); LO; Breed Registration; BreedRegistrationNumber; 1; 
(0x0010,0x2296); SQ; Breed Registry Code; BreedRegistryCodeSequence; 1; 
(0x0010,0x2297); PN; Responsible Person; ResponsiblePerson; 1; 
(0x0010,0x2298); CS; Responsible Person; ResponsiblePersonRole; 1; 
(0x0010,0x2299); LO; Responsible; ResponsibleOrganization; 1; 
(0x0010,0x4000); LT; Patient Comments; PatientComments; 1; 
(0x0010,0x9431); FL; Examined Body; ExaminedBodyThickness; 1; 
(0x0012,0x0010); LO; Clinical Trial; ClinicalTrialSponsorName; 1; 
(0x0012,0x0020); LO; Clinical Trial; ClinicalTrialProtocolID; 1; 
(0x0012,0x0021); LO; Clinical Trial; ClinicalTrialProtocolName; 1; 
(0x0012,0x0030); LO; Clinical Trial Site; ClinicalTrialSiteID; 1; 
(0x0012,0x0031); LO; Clinical Trial Site; ClinicalTrialSiteName; 1; 
(0x0012,0x0040); LO; Clinical Trial; ClinicalTrialSubjectID; 1; 
(0x0012,0x0042); LO; Clinical Trial; ClinicalTrialSubjectReadingID; 1; 
(0x0012,0x0050); LO; Clinical Trial Time; ClinicalTrialTimePointID; 1; 
(0x0012,0x0051); ST; Clinical Trial Time; ClinicalTrialTimePointDescription; 1; 
(0x0012,0x0060); LO; Coordinating Center; ClinicalTrialCoordinatingCenterName; 1; 
(0x0012,0x0062); CS; Patient Identity; PatientIdentityRemoved; 1; 
(0x0012,0x0063); LO; De-identification; DeidentificationMethod; 1-; 
(0x0012,0x0064); SQ; Method Code; DeidentificationMethodCodeSequence; 1; 
(0x0012,0x0071); LO; Clinical Trial; ClinicalTrialSeriesID; 1; 
(0x0012,0x0072); LO; Clinical Trial; ClinicalTrialSeriesDescription; 1; 
(0x0012,0x0081); LO; Protocol Ethics; ClinicalTrialProtocolEthicsCommitteeName; 1; 
(0x0012,0x0082); LO; Protocol Ethics; ClinicalTrialProtocolEthicsCommitteeApprovalNumber; 1; 
(0x0012,0x0083); SQ; Clinical Trial Use; ConsentForClinicalTrialUseSequence; 1; 
(0x0012,0x0084); CS; Distribution Type; DistributionType; 1; 
(0x0012,0x0085); CS; Consent for; ConsentForDistributionFlag; 1; 
(0x0014,0x0023); ST; CAD File Format; CADFileFormat; 1-; 
(0x0014,0x0024); ST; Component Reference; ComponentReferenceSystem; 1-; 
(0x0014,0x0025); ST; Manufacturing; ComponentManufacturingProcedure; n; 
(0x0014,0x0028); ST; Component; ComponentManufacturer; 1-; 
(0x0014,0x0030); DS; Material Thickness; MaterialThickness; 1-; 
(0x0014,0x0032); DS; Material Pipe; MaterialPipeDiameter; 1-; 
(0x0014,0x0034); DS; Material Isolation; MaterialIsolationDiameter; 1-; 
(0x0014,0x0042); ST; Material Grade; MaterialGrade; 1-; 
(0x0014,0x0044); ST; Material Properties; MaterialPropertiesFileID; 1-; 
(0x0014,0x0045); ST; Material Properties; MaterialPropertiesFileFormat; 1-; 
(0x0014,0x0046); LT; Material Notes; MaterialNotes; 1; 
(0x0014,0x0050); CS; Component Shape; ComponentShape; 1; 
(0x0014,0x0052); CS; Curvature Type; CurvatureType; 1; 
(0x0014,0x0054); DS; Outer Diameter; OuterDiameter; 1; 
(0x0014,0x0056); DS; Inner Diameter; InnerDiameter; 1; 
(0x0014,0x1010); ST; Environmental; ActualEnvironmentalConditions; 1; 
(0x0014,0x1020); DA; Expiry Date; ExpiryDate; 1; 
(0x0014,0x1040); ST; Environmental; EnvironmentalConditions; 1; 
(0x0014,0x2002); SQ; Evaluator Sequence; EvaluatorSequence; 1; 
(0x0014,0x2004); IS; Evaluator Number; EvaluatorNumber; 1; 
(0x0014,0x2006); PN; Evaluator Name; EvaluatorName; 1; 
(0x0014,0x2008); IS; Evaluation Attempt; EvaluationAttempt; 1; 
(0x0014,0x2012); SQ; Indication Sequence; IndicationSequence; 1; 
(0x0014,0x2014); IS; Indication Number; IndicationNumber; 1; 
(0x0014,0x2016); SH; Indication Label; IndicationLabel; 1; 
(0x0014,0x2018); ST; Indication; IndicationDescription; 1; 
(0x0014,0x201A); CS; Indication Type; IndicationType; 1-; 
(0x0014,0x201C); CS; Indication; IndicationDisposition; 1; 
(0x0014,0x201E); SQ; Indication ROI; IndicationROISequence; 1; 
(0x0014,0x2030); SQ; Indication Physical; IndicationPhysicalPropertySequence; 1; 
(0x0014,0x2032); SH; Property Label; PropertyLabel; 1; 
(0x0014,0x2202); IS; Coordinate System; CoordinateSystemNumberOfAxes; 1; 
(0x0014,0x2204); SQ; Coordinate System; CoordinateSystemAxesSequence; 1; 
(0x0014,0x2206); ST; Coordinate System; CoordinateSystemAxisDescription; 1; 
(0x0014,0x2208); CS; Coordinate System; CoordinateSystemDataSetMapping; 1; 
(0x0014,0x220A); IS; Coordinate System; CoordinateSystemAxisNumber; 1; 
(0x0014,0x220C); CS; Coordinate System; CoordinateSystemAxisType; 1; 
(0x0014,0x220E); CS; Coordinate System; CoordinateSystemAxisUnits; 1; 
(0x0014,0x2210); OB; Coordinate System; CoordinateSystemAxisValues; 1; 
(0x0014,0x2220); SQ; Coordinate System; CoordinateSystemTransformSequence; 1; 
(0x0014,0x2222); ST; Transform; TransformDescription; 1; 
(0x0014,0x2224); IS; Transform Number of; TransformNumberOfAxes; 1; 
(0x0014,0x2226); IS; Transform Order of; TransformOrderOfAxes; 1-; 
(0x0014,0x2228); CS; Transformed Axis; TransformedAxisUnits; 1; 
(0x0014,0x222A); DS; Transform Rotation; CoordinateSystemTransformRotationAndScaleMatrix; n; 
(0x0014,0x222C); DS; Transform; CoordinateSystemTransformTranslationMatrix; n; 
(0x0014,0x3011); DS; Internal Detector; InternalDetectorFrameTime; 1; 
(0x0014,0x3012); DS; Number of Frames; NumberOfFramesIntegrated; 1; 
(0x0014,0x3020); SQ; Temperature; DetectorTemperatureSequence; 1; 
(0x0014,0x3022); DS; Sensor Name; SensorName; 1; 
(0x0014,0x3024); DS; Horizontal Offset; HorizontalOffsetOfSensor; 1; 
(0x0014,0x3026); DS; Vertical Offset of; VerticalOffsetOfSensor; 1; 
(0x0014,0x3028); DS; Sensor Temperature; SensorTemperature; 1; 
(0x0014,0x3040); SQ; Dark Current; DarkCurrentSequence; 1; 
(0x0014,0x3050); OB OW; Dark Current Counts; DarkCurrentCounts; 1; 
(0x0014,0x3060); SQ; Gain Correction; GainCorrectionReferenceSequence; 1; 
(0x0014,0x3070); OB OW; Air Counts; AirCounts; 1; 
(0x0014,0x3071); DS; KV Used in Gain; KVUsedInGainCalibration; 1; 
(0x0014,0x3072); DS; MA Used in Gain; MAUsedInGainCalibration; 1; 
(0x0014,0x3073); DS; Used for; NumberOfFramesUsedForIntegration; 1; 
(0x0014,0x3074); LO; Used in Gain; FilterMaterialUsedInGainCalibration; 1; 
(0x0014,0x3075); DS; Used in Gain; FilterThicknessUsedInGainCalibration; 1; 
(0x0014,0x3076); DA; Date of Gain; DateOfGainCalibration; 1; 
(0x0014,0x3077); TM; Time of Gain; TimeOfGainCalibration; 1; 
(0x0014,0x3080); OB; Bad Pixel Image; BadPixelImage; 1; 
(0x0014,0x3099); LT; Calibration Notes; CalibrationNotes; 1; 
(0x0014,0x4002); SQ; Pulser Equipment; PulserEquipmentSequence; 1; 
(0x0014,0x4004); CS; Pulser Type; PulserType; 1; 
(0x0014,0x4006); LT; Pulser Notes; PulserNotes; 1; 
(0x0014,0x4008); SQ; Receiver Equipment; ReceiverEquipmentSequence; 1; 
(0x0014,0x400A); CS; Amplifier Type; AmplifierType; 1; 
(0x0014,0x400C); LT; Receiver Notes; ReceiverNotes; 1; 
(0x0014,0x400E); SQ; Pre-Amplifier; PreAmplifierEquipmentSequence; 1; 
(0x0014,0x400F); LT; Pre-Amplifier Notes; PreAmplifierNotes; 1; 
(0x0014,0x4010); SQ; Transmit Transducer; TransmitTransducerSequence; 1; 
(0x0014,0x4011); SQ; Receive Transducer; ReceiveTransducerSequence; 1; 
(0x0014,0x4012); US; Number of Elements; NumberOfElements; 1; 
(0x0014,0x4013); CS; Element Shape; ElementShape; 1; 
(0x0014,0x4014); DS; Element Dimension A; ElementDimensionA; 1; 
(0x0014,0x4015); DS; Element Dimension B; ElementDimensionB; 1; 
(0x0014,0x4016); DS; Element Pitch; ElementPitch; 1; 
(0x0014,0x4017); DS; Measured Beam; MeasuredBeamDimensionA; 1; 
(0x0014,0x4018); DS; Measured Beam; MeasuredBeamDimensionB; 1; 
(0x0014,0x4019); DS; Measured Beam; LocationOfMeasuredBeamDiameter; 1; 
(0x0014,0x401A); DS; Nominal Frequency; NominalFrequency; 1; 
(0x0014,0x401B); DS; Measured Center; MeasuredCenterFrequency; 1; 
(0x0014,0x401C); DS; Measured Bandwidth; MeasuredBandwidth; 1; 
(0x0014,0x4020); SQ; Pulser Settings; PulserSettingsSequence; 1; 
(0x0014,0x4022); DS; Pulse Width; PulseWidth; 1; 
(0x0014,0x4024); DS; Excitation; ExcitationFrequency; 1; 
(0x0014,0x4026); CS; Modulation Type; ModulationType; 1; 
(0x0014,0x4028); DS; Damping; Damping; 1; 
(0x0014,0x4030); SQ; Receiver Settings; ReceiverSettingsSequence; 1; 
(0x0014,0x4031); DS; Acquired Soundpath; AcquiredSoundpathLength; 1; 
(0x0014,0x4032); CS; Acquisition; AcquisitionCompressionType; 1; 
(0x0014,0x4033); IS; Acquisition Sample; AcquisitionSampleSize; 1; 
(0x0014,0x4034); DS; Rectifier Smoothing; RectifierSmoothing; 1; 
(0x0014,0x4035); SQ; DAC Sequence; DACSequence; 1; 
(0x0014,0x4036); CS; DAC Type; DACType; 1; 
(0x0014,0x4038); DS; DAC Gain Points; DACGainPoints; 1-; 
(0x0014,0x403A); DS; DAC Time Points; DACTimePoints; 1-; 
(0x0014,0x403C); DS; DAC Amplitude; DACAmplitude; 1-; 
(0x0014,0x4040); SQ; Pre-Amplifier; PreAmplifierSettingsSequence; 1; 
(0x0014,0x4050); SQ; Transmit Transducer; TransmitTransducerSettingsSequence; 1; 
(0x0014,0x4051); SQ; Receive Transducer; ReceiveTransducerSettingsSequence; 1; 
(0x0014,0x4052); DS; Incident Angle; IncidentAngle; 1; 
(0x0014,0x4054); ST; Coupling Technique; CouplingTechnique; 1; 
(0x0014,0x4056); ST; Coupling Medium; CouplingMedium; 1; 
(0x0014,0x4057); DS; Coupling Velocity; CouplingVelocity; 1; 
(0x0014,0x4058); DS; Crystal Center; CrystalCenterLocationX; 1; 
(0x0014,0x4059); DS; Crystal Center; CrystalCenterLocationZ; 1; 
(0x0014,0x405A); DS; Sound Path Length; SoundPathLength; 1; 
(0x0014,0x405C); ST; Delay Law; DelayLawIdentifier; 1; 
(0x0014,0x4060); SQ; Gate Settings; GateSettingsSequence; 1; 
(0x0014,0x4062); DS; Gate Threshold; GateThreshold; 1; 
(0x0014,0x4064); DS; Velocity of Sound; VelocityOfSound; 1; 
(0x0014,0x4070); SQ; Calibration; CalibrationSettingsSequence; 1; 
(0x0014,0x4072); ST; Calibration; CalibrationProcedure; 1; 
(0x0014,0x4074); SH; Procedure Version; ProcedureVersion; 1; 
(0x0014,0x4076); DA; Procedure Creation; ProcedureCreationDate; 1; 
(0x0014,0x4078); DA; Procedure; ProcedureExpirationDate; 1; 
(0x0014,0x407A); DA; Procedure Last; ProcedureLastModifiedDate; 1; 
(0x0014,0x407C); TM; Calibration Time; CalibrationTime; 1-; 
(0x0014,0x407E); DA; Calibration Date; CalibrationDate; 1-; 
(0x0014,0x5002); IS; LINAC Energy; LINACEnergy; 1; 
